lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
44 - 2013;aprilo;262;87-94;John Bayley;La du Solĵenicin;;;ESEO;prozo;;prozo originala
44 - 2013;aprilo;262;95-98;Giorgio Silfer;Albaniva kaj ŝiaj sep nanoj;;;TEATRO;kamiŝibajo;;teatro originala
44 - 2013;aprilo;262;99;Rob Hunter;Najbaroj;Lászlo Radácsy;angla;BELETRO;novelo;;prozo tradukita
44 - 2013;aprilo;262;100-108;Marie-Dominique Moliné;Leteroj al Cioran;Marie-France Conde Rey;franca;ESEO;letero;;prozo tradukita
44 - 2013;aprilo;262;109-110;Julian Modest;Nevidebla knabo;;;BELETRO;novelo;;prozo originala
44 - 2013;junio;263;115;Samir Trabelsi;jasmen’parfumis reve;;;UVERTURO;poemo;;poezio originala
44 - 2013;junio;263;116-118;Johano Negrete;De la poezio al la scienca prozo;;;FILOZOFIO;eseo;;eseo originala
44 - 2013;junio;263;119-125;Josip Brockij;Nadeĵda Mandelŝtam;Ljubomir Trifonĉovski;rusa;KULTURPOLITIKO;eseo;;eseo tradukita
44 - 2013;junio;263;126-127;Margret Broken;Kanzonoj;Perla Martinelli;angla;DIDAKTIKO;artikolo;;eseo tradukita
44 - 2013;junio;263;127;La Redakcio;PEN preparas 20-jaran jubileon;;;SPECIALE PEN;datreveno;;anonco
44 - 2013;junio;263;128-134;Nikolao Gudskov;Moskvo kiel itala renesanca urbo;;;ARTO;eseo;;eseo originala
44 - 2013;junio;263;135;Valentin Melnikov;Liberikoj (liberaj limerikoj);;;BELETRO;poezio;;poezio originala
44 - 2013;junio;263;136-138;Till Dahlenburg;Mi kaŭras en vi kiel kaptita sovaĝbesto;;;EN VITRINO;recenzo;Filip David (2009), Sonĝo pri amo kaj morto. Mallonga romano pri amo. Mallonga romano pri mortado, tr. Agnesa Eremija;recenzo
44 - 2013;junio;263;139-143;Giorgio Silfer;Karmezina renkontis Lupon;;;TEATRO;kamiŝibaja fabelo;;teatro originala
44 - 2013;junio;263;144;Anna Bartek;La orienta legacio inaŭgurota fine de aŭgusto;;;REDAKCIE;dokumento;;anonco
44 - 2013;junio;263;145-149;Armando Zecchin;Sanktaj lingvoj, monopolaj kaj goliardaĵoj;;;KOMENTARIO;eseo;;eseo originala
44 - 2013;junio;263;150;Anna Bartek;OIK en la fokuso de nia biblioteka sistemo;;;ESEO;dokumento;;eseo originala
44 - 2013;junio;263;151-152;Lenke Szász;Resume;;;ESEO;artikolo;;eseo originala
44 - 2013;junio;263;153-159;Walter Żelazny;Kiam oni scias pli multe ol ni;;;ZAMENHOFOLOGIO;recenzo;"Ewa Geller kaj Agnieszka Jagodzinska (2012), Ludwik Zamenhof wobec ""kwestii zydowskiej"". Wybór
źródeł (Ludoviko Zamenhof rilate al la ""juda problemo"", Elektitaj fontoj)";recenzo
44 - 2013;junio;263;160-165;Julian Modest;La viro el la pasinteco;;;KULTURPOLITIKO;novelo;;prozo originala
44 - 2013;junio;263;166;Ljubomir Trifonĉovski;Niaj klubejoj kiel ora trezoro;;;;artikolo;;eseo originala
44 - 2013;aŭgusto;264;171;Lina Gabrielli;Ama kanto;;;UVERTURO;poemo;;poezio originala
44 - 2013;aŭgusto;264;172;HeKo;Fondumo Blas Infante, federisma referenco;;;KULTURPOLITIKO;dokumento;;eseo originala
44 - 2013;aŭgusto;264;173-180;Stefan Minkov;Pri mia esperantisteco;;;HISTORIO;dokumento;;eseo originala
44 - 2013;aŭgusto;264;181-182;John F. Kennedy;Ich bon Berliner;Lászlo Radácsy;angla;HISTORIO;dokumento;;eseo tradukita
44 - 2013;aŭgusto;264;183-184;György Nanovfszky;"Pri ""Ich bin ein Berliner""";;;KOMENTARIO;opinio;;eseo originala
44 - 2013;aŭgusto;264;185-187;Charles Flores;Forŝaltu la llumon, por ke mi dormu;Carmel Mallia;malta;HISTORIO;novelo;;prozo tradukita
44 - 2013;aŭgusto;264;188-189;Christian Declerck;Fajro de senta deziro;;;EN VITRINO;recenzo;Marie-France Conde Rey (2013), Chien de feu / Fajra hundo;recenzo
44 - 2013;aŭgusto;264;190-191;Mariana Evlogieva;Mirinda plu-amo plenvoĉa;;;MUZIKO;recenzo;Manǔel (2013), Mirindaĵo, (KD);recenzo
44 - 2013;aŭgusto;264;192-193;Carlo Minnaja;Ŝtefo Urban;;;HISTORIO;rememoro;;nekrologo
44 - 2013;aŭgusto;264;194-199;Daniel Barenboim;Wagner kaj judoj;Ljubomir Trifonĉovski;germana;ESEO;eseo;;eseo tradukita
44 - 2013;aŭgusto;264;200-201;Nikola Uzunov;Rekreski el ruinomonto;;;EN VITRINO;recenzo;Jürgen Helfricht (2013), La Dresdena Sinjorina Preĝejo,  tr. Benoît Philippe;recenzo
44 - 2013;aŭgusto;264;202-203;Ljubomir Trifonĉovski;Mi ne sekvis sklave la okazintaĵojn;;;KONKURSFAKO;intervjuo;;intervjuo
44 - 2013;aŭgusto;264;204-205;Joel Batila (laŭ inspiro de Giorgio Silfer);Unua fiota teksto en esperanta alfabeto;;;LINGVISTIKO;dokumento;;eseo originala
44 - 2013;aŭgusto;264;206-207;Lenke Szász;Paĉjo;;;BELETRO;novelo;;prozo originala
44 - 2013;aŭgusto;264;208;Armando Zecchin;Ĉu Darwin agnoskita?;;;FILOZOFIO;artikolo;;eseo originala
44 - 2013;aŭgusto;264;209;Miĉelo Eliard;Memore pri Gilbert Durand;;;FILOZOFIO;omaĝo;;nekrologo
44 - 2013;aŭgusto;264;210-211;Giorgio Silfer;Neĝulino ĉe Pablo Berger: mito kaj arketipo;;;LA SEPA ARTO;kino;;prozo originala
44 - 2013;aŭgusto;264;212-213;Jordan Slavejkov;Nekrologo por sonĝoj;;;ESEO;artikolo;;eseo originala
44 - 2013;aŭgusto;264;214;Massimo Acciai;La lingvovendejo;;;HUMURO;novelo;;prozo originala
44 - 2013;aŭgusto;264;215-216;Carlo Minnaja;Kantoj de Leopardi;;;TRADUKARTO;recenzo;Giacomo Leopardi (2012), Kantoj, tr. Nicolino Rossi;recenzo
44 - 2013;aŭgusto;264;217;La Redakcio;Ses gastoj en Budapeŝto;;;ESEO;dokumento;;eseo originala
44 - 2013;aŭgusto;264;218-219;Carel Ĉapek;Antoĉjo;Marie Břehová;ĉeĥa;BELETRO;novelo;;prozo tradukita
44 - 2013;aŭgusto;264;220-222;Till Dahlenburg;Niaj idoj memoros ĝin por ĉiam!;;;HISTORIO;recenzo;Ardachès Stakian (Ani Arax) (2013), De la Aflikto ĝis la Steloj. Memoraĵoj 1913-1986, tr. André Cherpillod;nekrologo
44 - 2013;oktobro;265;227;Carmel Mallia;Survoje al libereco;;;UVERTURO;poemo;;poezio originala
44 - 2013;oktobro;265;228-235;Walter Żelazny;Esotera konflikto inter Marko Zamenhof kaj lia filo Ludoviko;;;ZAMENHOFOLOGIO;eseo;;eseo originala
44 - 2013;oktobro;265;236-237;Perla Martinelli;1993-2013: la agnosko de PEN pri nia literatura lingvo;;;REDAKCIE;jubileo;;anonco
44 - 2013;oktobro;265;238-239;"La Packomitato de
PEN Internacia";Manifesto de la Komitato de Verkistoj por Paco;Marie-France Conde Rey;franca;SPECIALE PEN;dokumento;;anonco
44 - 2013;oktobro;265;240-243;Gaston Waringhien;Emile Grosjean-Maupin;;;ESPERANTOLOGIO;datreveno;;anonco
44 - 2013;oktobro;265;244-247;Martin Luther King (Juna);Mi havas revon;Lászlo Radácsy;angla;HISTORIO;artikolo;;eseo tradukita
44 - 2013;oktobro;265;248-249;Perla Martinelli;Fabelo pri tri fratinoj kaj unu princo;;;ESEO;artikolo;;eseo originala
44 - 2013;oktobro;265;250-262;Vinko Ošlak;Katekismo postulas intelektan honestecon;;;EN VITRINO;recenzo;Voltaire / Voltero (2012), Katekismo de la honesta homo, tr. André Cherpillod;recenzo
44 - 2013;oktobro;265;263-265;Daniel Mrázek;Regea idealisto;;;MUZIKO;recenzo;Jonny M (2013), Regestilo (KD);recenzo
44 - 2013;oktobro;265;266-267;Giorgio Silfer;La germana kuracisto;;;LA SEPA ARTO;kino;;prozo originala
44 - 2013;oktobro;265;268-273;Armando Zecchin;La tago de la profitemaj malpravigoj;;;BELETRO;romano;;poezio originala
44 - 2013;oktobro;265;273;Jordan Slavejkov;Dek unu (miaj) Diaj ordonoj;;;ESEO;ordono;;eseo originala
44 - 2013;oktobro;265;274;Nikola Uzunov;Medito;;;KONKURSFAKO;pezio;;eseo originala
44 - 2013;oktobro;265;275-276;Artur Azevedo;Plebiscito;Maria Eloa de S. Lima;portugala;HUMURO;novelo;;prozo tradukita
44 - 2013;oktobro;265;277-278;Giorgio Silfer;Jelpo kaj rigardo kaj La kvazaŭa liceano;;;BELETRO;du specimenoj;;prozo originala
44 - 2013;decembro;266;283;Rache Joseph Capet;Memoroj de alia mond’;;;UVERTURO;poemo;;poezio originala
44 - 2013;decembro;266;284-298;Francisko Degoul;Homaranismo: ĉu li misus tro mie?;;;ZAMENHOFOLOGIO;eseo;;eseo originala
44 - 2013;decembro;266;299;Giorgio Silfer;La aplikoj de homaranismo;;;KOMENTARIO;artikolo;;eseo originala
44 - 2013;decembro;266;300-301;"Alice Munro, Adam
Smith";"""Tio eble rekonsiderigas min…""";Lászlo Radácsy;angla;KONKURSFAKO;intervjuo;;intervjuo
44 - 2013;decembro;266;302-303;Ljubomir Trifonĉovski kaj Giorgio Silfer;Jerzy, kian mi lin konas;;;TEATRO;omaĝo;;nekrologo
44 - 2013;decembro;266;304-307;Nigel Warburton;Parolu kun mi;Krunoslay Puškar;angla;ESEO;libro;;eseo tradukita
44 - 2013;decembro;266;308-310;Daniel Mrázek;Kalma melodio, gravaj tekstoj;;;MUZIKO;recenzo;La Perdita Generacio (2013), Ĉiamen plu (KD);recenzo
44 - 2013;decembro;266;311;Milena Makaveeva;"""La Verko de la Jaro"" 2013";;;KONKURSFAKO;konkurso;;anonco
44 - 2013;decembro;266;312-318;Russel Bennets, Jonathan Sperbe;Marx estis malantaŭ sin mem judo;;;INTERVJUO;prozo;;intervjuo
44 - 2013;decembro;266;319-322;Jiří Patera;Informas Prago;;;HISTORIO;eseo;;eseo originala
44 - 2013;decembro;266;323-324;Jordan Slavejkov;Kurtaj;;;BELETRO;poezio;;poezio originala
44 - 2013;decembro;266;325-327;Armando Zecchin;La neatendita reviviĝo de apologetikisto;;;ESEO;omaĝa eseo;;eseo originala
44 - 2013;decembro;266;328-330;Julian Modest;Senpaga vojaĝbileto al Laponio;;;BELETRO;rakonto;;prozo originala
44 - 2013;decembro;266;331-334;Nikola Uzunov;Mia konatiĝo kun Andreo Ĉe;;;DIDAKTIKO;eseo;;eseo originala
45 - 2014;februaro;267;3;Nicolino Rossi;Soneto por Ljubomir;;;UVERTURO;poemo;;poezio originala
45 - 2014;februaro;267;4;Marc Hiltbrand;Bonvenon al Carlo Minnaja;;;REDAKCIE;dokumento;;anonco
45 - 2014;februaro;267;5-6;Giorgio Silfer;Honore al Ljubomir;;;HISTORIO;honoro;;eseo originala
45 - 2014;februaro;267;7-11;Géza Csáth;La trajno;Giorgio Silfer;hungara;BELETRO;novelo;;prozo tradukita
45 - 2014;februaro;267;12;Vinko Ošlak;Letero pri Ljubomir Trifonĉovski;;;;;;eseo originala
45 - 2014;februaro;267;13-17;Vinko Ošlak;Pseŭdsokrato kaj la liberala politikisto Danilo;;;HUMURO;novelo;;prozo originala
45 - 2014;februaro;267;18-20;Giovanni Boccaccio;Elizabeta de Mesino kvara Tago, kvina novelo;Perla Martinelli;itala;SCIENCO;novelaro;;prozo tradukita
45 - 2014;februaro;267;21-29;Vimala Devi;La gast-bofilo;Manuel de Seabra;portugala;TEATRO;teatraĵo;;teatro tradukita
45 - 2014;februaro;267;30-31;Cicerono;Amikeco;Carlo Minnaja;latino;FILOZOFIO;rememoro;;nekrologo
45 - 2014;februaro;267;32-35;Walter Żelazny;Lingva estonteco de Eŭropo kaj de la mondo;;;KULTURPOLITIKO;eseo;;eseo originala
45 - 2014;februaro;267;36-38;Zlatoje Martinov;Ĉu la (esperanta) tradukado estas arto?;;;TRADUKARTO;eseo;;eseo originala
45 - 2014;februaro;267;39-42;Ghassan Kanafani;Kardelo;Tomasz Chmielik;araba;BELETRO;rakonto;;prozo tradukita
45 - 2014;februaro;267;43-44;Leif Nordenstorm;Bagavadgito - ĉefa verko de hinduismo;;;ESEO;libro;;eseo originala
45 - 2014;februaro;267;45;Bertil Nilsson;Masha Gessen el Rusio ricevis la Tucholvs-premion;;;SPECIALE PEN;premio;;anonco
45 - 2014;februaro;267;46-48;Armando Zecchin;Etty, nederlanda judino pli forta ol la nazia malamo;;;FILOZOFIO;historio;;eseo originala
45 - 2014;februaro;267;49-52;Erzsébet Csicsey-Ronay;Roŭmaj verkistoj en Hungario;Giorgio Silfer;hungara;SPECIALE PEN;eseo;;anonco
45 - 2014;februaro;267;53-54;Julian Modest;Li vivis per esperanto kaj esperanto vivis per li.;;;HISTORIO;rememoro;;nekrologo
45 - 2014;aprilo;268;59;Carlo Minnaja;Kara leganto;;;REDAKCIE;saluto;;anonco
45 - 2014;aprilo;268;60;La Redakcio;Vi legos…;;;REDAKCIE;informo;;anonco
45 - 2014;aprilo;268;61;Nicola Ruggiero;Mateno neniam;;;UVERTURO;poemo;;poezio originala
45 - 2014;aprilo;268;62-67;Otto Prytz;Pri la romano Nebulo kaj ĝia aŭtoro - aŭ inverse;;;HISTORIO;eseo;;eseo originala
45 - 2014;aprilo;268;67-69;Miguel de Unamuno;Nebulo - el la VI ĉapitro;José Fernandez Arroyo;hispana;HISTORIO;teatraĵo;;teatro tradukita
45 - 2014;aprilo;268;70-72;Carlo Minnaja;La palaj montoj;;;BELETRO;antologio;;poezio originala
45 - 2014;aprilo;268;73-77;Farîd ad-Dîn Attâr;La rakonto de sultano Ĝomĝom;Fabrizio A. Pennachietti;antikva persa;BELETRO;rakonto;;prozo tradukita
45 - 2014;aprilo;268;78-82;Carlo Minnaja, Eugene de Zilah;Kolego de Zilah, filozofa verkisto;;;INTERVJUO;prozo;;intervjuo
45 - 2014;aprilo;268;83;Ĝiorĝ Pisani;Al Mikiel Anton Vassalli;Carmel Mallia;malta;BELETRO;poemo;;poezio tradukita
45 - 2014;aprilo;268;84-85;Giorgio Silfer;La vento soras en plej melankolia paŝtelo;;;LA SEPA ARTO;filmo;;prozo originala
45 - 2014;aprilo;268;86;Carlo Minnaja;Ne venas fino al lia latino…;;;REDAKCIE;bonvenigo;;anonco
45 - 2014;aprilo;268;87-91;Gerrit Berveling;Frua kristanismo kaj virinoj - la ekzemplo de la vualoj;;;HISTORIO;eseo;;eseo originala
45 - 2014;aprilo;268;92-94;Nicolino Rossi;Klasikaj reloj, aliperspektive;;;EN VITRINO;recenzo;Nicola Ruggiero (2008), Taglibro denenifaranto (poemaro);recenzo
45 - 2014;aprilo;268;95-101;Vinko Ošlak (resuma daŭrigo kaj fino);Pseŭdsokrato kaj la liberala politikisto Danilo (2);;;HUMURO;novelo;;prozo originala
45 - 2014;aprilo;268;102-103;Zlatoje Martinov;La pacama romano;;;EN VITRINO;recenzo;Julia Sigmond kaj Sen Rodin (2013), Libazar’ kaj Tero - kvarmana sonato dutonala;recenzo
45 - 2014;aprilo;268;104-105;Francisko Degoul;"Kion signias ""honesta""";;;ESPERANTOLOGIO;komentario;;eseo originala
45 - 2014;aprilo;268;105-106;Marie-France Conde Rey;La katekismo de Vinko;;;KOMENTARIO;komentario;;eseo originala
45 - 2014;aprilo;268;107-109;Júlia Sigmond;Morto kaj vivoĝuo;;;EN VITRINO;recenzo;Carlo Minnaja, komp. (2013), Gabriele D'Annunzio - Antologio, tr. diversaj;recenzo
45 - 2014;aprilo;268;110;Perla Martinelli;Dedukteblo en nia leksiko;;;ESPERANTOLOGIO;lingvistiko;;eseo originala
45 - 2014;junio;269;115;Carlo Minnaja;Vi legos…;;;REDAKCIE;enkonduko;;anonco
45 - 2014;junio;269;116;Gerrit Berveling;Anne;;;UVERTURO;poemo;;poezio originala
45 - 2014;junio;269;117-119;Martina Martinez Tuya;Domo sen indiĝenaj spiritoj sed kun ĉiliaj framasonoj;;;ESEO;libro;;eseo originala
45 - 2014;junio;269;120;Isabel Allende;La domo de la spiritoj el la ĉapitroj naŭa kaj deka;Giorgio Silfer;hispana;BELETRO;romano;;prozo tradukita
45 - 2014;junio;269;121-124;Carlo Minnaja;Al nia Geraldo;;;HISTORIO;eseo;;eseo originala
45 - 2014;junio;269;125-127;Lizet León;Gabo musokapo;Carlo Minnaja;itala;MEMORE PRI;artikolo;;nekrologo
45 - 2014;junio;269;127-132;Gabriel Garcia Márquez;La soleco de Latinameriko;Andrés Martin;hispana;KONKURSFAKO;eseo;;eseo tradukita
45 - 2014;junio;269;133-135;Carlo Minnaja;Intrigoj ĉiutemaj;;;ESEO;eseo;;eseo originala
45 - 2014;junio;269;136;Giogi Ciskalauri;La gruzo kun ruzo;;;BELETRO;poezio;;poezio originala
45 - 2014;junio;269;137-138;Davide Astori;Kontraŭtendence;;;PLANLINGVISTIKO;artikolo;;eseo originala
45 - 2014;junio;269;139-140;Perla Martinelli;Artkomedio en nia lingvo: ambicia projekto;;;TEATRO;kamiŝibajo;;teatro originala
45 - 2014;junio;269;141-142;Perla Martinelli;Teatro de Lazzi: ortografio ne gravas por atro universala;;;INTERVJUO;prozo;;intervjuo
45 - 2014;junio;269;143-149;Yianchao Yu;Rezonadoj pri neologismoj inter Tibor Sekelj kaj Laŭlum;;;ESPERANTOLOGIO;lingvistiko;;eseo originala
45 - 2014;junio;269;150-151;Carlo Minnaja;István Ertl, la alia redaktoro;;;INTERVJUO;prozo;;intervjuo
45 - 2014;junio;269;152-155;Leif Nordenstorm;Deguĉi Nao kaj ŝiaj Diaj Revelacioj;;;FILOZOFIO;religio;;eseo originala
45 - 2014;junio;269;156-157;Simone Zoppellaro;Nova Ĝulfo: vojaĝo inter la armenoj de Esfahano;;;ESEO;religio;;eseo originala
45 - 2014;junio;269;158-159;Ngugi wa’ Thiong’o;Malkonoliigi la menson;Carlo Minnaja;angla;ESPERANTOLOGIO;omaĝo;;nekrologo
45 - 2014;junio;269;160-161;Giorgio Silfer;"Post ""Oka kaj duono"" la dekunua kaj tri kvaronoj…";;;LA SEPA ARTO;artikolo;;prozo originala
45 - 2014;junio;269;162-165;Julian Modest;La ora medalo;;;BELETRO;novelo;;prozo originala
45 - 2014;junio;269;166;Carlo Minnaja;Bavara enklavo en Trentolando;;;KULTURPOLITIKO;eseeto;;eseo originala
45 - 2014;aŭgusto;270;171;Carlo Minnaja;Vi legos…;;;REDAKCIE;enkonduko;;anonco
45 - 2014;aŭgusto;270;172;Nicolino Rossi;Sonĝoj de oldulo;;;UVERTURO;poemo;;poezio originala
45 - 2014;aŭgusto;270;173-175;Carlos Valle;Paulo Coelho kaj la traduko de La Alkemiisto;;;REDAKCIE;eseo;;anonco
45 - 2014;aŭgusto;270;176;Paulo Coelho;La Alkemiisto: el la ĉapitro 17;Carlos Valle;portugala;BELETRO;artikolo;;prozo tradukita
45 - 2014;aŭgusto;270;177-179;Carlo Minnaja;Gratulojn, dojenino!;;;HISTORIO;rememoro;;nekrologo
45 - 2014;aŭgusto;270;180-182;László Radácsy, Giorgio Silfer;Giganto ĉe ni, neglekta ĉe si;;;ESEO;eseo;;eseo originala
45 - 2014;aŭgusto;270;183-185;Carlo Minnaja;Amble kun Juan Régulo Pérez;;;NOVJARA SALUTO;jubileo;;anonco
45 - 2014;aŭgusto;270;185;PEN-Komitato;Aembleo de Esperanta PEN-Centro en Budapeŝto;;;SPECIALE PEN;kunsido;;anonco
45 - 2014;aŭgusto;270;186-195;André Cherpillod;Charles Péguy kaj la Virina Trinitano;;;ESEO;poezio;;poezio originala
45 - 2014;aŭgusto;270;196-197;Giorgio Silfer;La pola sindikatisto de 1980;;;LA SEPA ARTO;historio;;prozo originala
45 - 2014;aŭgusto;270;198;Massimo Acciai;Rekviemo por sciencfikcia manuskripto bruligita;;;BELETRO;poemo;;poezio originala
45 - 2014;aŭgusto;270;199-201;Tomasz Chmielik;Belorusa literaturisto;;;BELETRO;literaturo;;poezio originala
45 - 2014;aŭgusto;270;202;Eŭgeno Leonidoviĉ, Radojica Petroviĉ;Al poeto, Hirundoj;;;KONKURSFAKO;poezio;;poezio originala
45 - 2014;aŭgusto;270;203-211;Vinko Ošlak;Kio estas Kristanismo?;;;KOMENTARIO;recenza eseo;Gerrit Berveling (2014),  Konciza historio de Kristanismo;recenzo
45 - 2014;aŭgusto;270;211-212;Gerrit Berveling;Respondo al la recenzo de Vinko Ošlak;;;KOMENTARIO;recenza eseo;Gerrit Berveling (2014),  Konciza historio de Kristanismo;recenzo
45 - 2014;aŭgusto;270;213-214;Till Dahlenburg;Retenas min viva nur poezi’ kaj prozo;;;EN VITRINO;recenzo;Josip Pleadin (2013), Cigna Kanto;recenzo
45 - 2014;aŭgusto;270;215-216;Humphrey Tonkin;On Kawara kaj Esperanto;;;ESEO;artikolo;;eseo originala
45 - 2014;aŭgusto;270;217-219;Ursula kaj Giuseppe Grattapaglia;Kuraĝa laboro: 40 jaroj en Bona Espero;;;KOMENTARIO;esea dokumento;;eseo originala
45 - 2014;aŭgusto;270;220-221;Armando Zecchin;Revenis la antikvaj dioj (promenante tra libro-ekspozicio);;;REDAKCIE;artikolo;;eseo originala
45 - 2014;aŭgusto;270;222;Carlo Minnaja;Modesta titolo, klera enhavo;;;PLANLINGVISTIKO;recenzo;Davide Astori (2014), Esperantaĵoj;recenzo
45 - 2014;oktobro;271;227;Carlo Minnaja;Vi legos…;;;REDAKCIE;enkonduko;;anonco
45 - 2014;oktobro;271;228;Massimo Acciai;Kanzono por Natalja;;;UVERTURO;muziko;;poezio originala
45 - 2014;oktobro;271;229-230;Giorgio Silfer;Multe pli ol Martín Fierro en la argentina literaturo;;;REDAKCIE;prezento;;anonco
45 - 2014;oktobro;271;231-234;Rodrigo Fresán;"el la romano ""Esperanto"": La marda tago";Giorgio Silfer;hispana;BELETRO;romano;;prozo tradukita
45 - 2014;oktobro;271;235-236;Carlo Minnaja;Stanislav Schulhof:  la sklavo de la kanto;;;ESEO;artikolo;;eseo originala
45 - 2014;oktobro;271;237;Mao Zifu;Serĉado de perdita tempo;;;BELETRO;poemo;;poezio originala
45 - 2014;oktobro;271;238-241;Clarence Bicknell;Parnassia palustris;;;KULTURPOLITIKO;novelo;;prozo originala
45 - 2014;oktobro;271;242-243;Carlo Minnaja;Kontakto kun junuloj;;;INTERVJUO;prozo;;intervjuo
45 - 2014;oktobro;271;243;Administra Komitato;Ĝenerala asembleo de LF-koop;;;REDAKCIE;kunvoko;;anonco
45 - 2014;oktobro;271;244-246;Carmel Mallia;Mikiel Anton Vassalli - Patro de la Malta lingvo;;;REDAKCIE;eseo;;anonco
45 - 2014;oktobro;271;247-249;Leif Nordenstorm;La Dharmo-pado: budhisma klasikaĵo;;;FILOZOFIO;eseo;;eseo originala
45 - 2014;oktobro;271;250-251;Galileo Galilei;El Dialogo pri la du ĉefaj sistemoj de la mondo;Carlo Minnaja;itala;SCIENCO;dialogo;;eseo tradukita
45 - 2014;oktobro;271;252-253;Gabry Zunino;Ŝute inter la fingroj;Carlo Minnaja;itala;BELETRO;poemo;;poezio tradukita
45 - 2014;oktobro;271;254-255;Giorgio Silfer;Se eŭropa vivmalsano turkon atingas tra rusaj klasikuloj…;;;LA SEPA ARTO;teatro;;teatro originala
45 - 2014;oktobro;271;256-261;Carlo Minnaja;Libroj por ĉiuj Sezonoj;;;ESEO;eseo;;eseo originala
45 - 2014;oktobro;271;262;Carlo Minnaja;Slovena rezisto al trudita sennaciigo;;;EN VITRINO;recenzo;Strečko Kosovel (2013), V zlatem čolnu - En la ora boato, tr. Vinko Oslak;recenzo
45 - 2014;oktobro;271;263-265;Till Dahlenburg;Et quod temptabam scribere versus erat;;;EN VITRINO;recenzo;"Eli Urbanová (2003), Rapide pasis la temp'; Eli Urbanová (2003), Prefere ne tro rigardi retro";recenzo
45 - 2014;oktobro;271;266-267;Rita Donatelli kaj Giuseppe Gradela;Dia digno de la vorto;;;EN VITRINO;recenzo;Athanase Vantchev de Thracy (2014), Dia digno de la vorto, tr. Amerigo Janakono;recenzo
45 - 2014;oktobro;271;268-269;Anna Bartek;La okcitanismo simile vojas;;;SPECIALE PEN;dokumento;;anonco
45 - 2014;oktobro;271;270-273;Gerrit Berveling;Laŭ spuro de sufioj…;;;BELETRO;poezio;;poezio originala
45 - 2014;oktobro;271;274-275;Michela Lipari;Nekredebla muzeo;;;ARTO;artikolo;;eseo originala
45 - 2014;oktobro;271;276-278;Armando Zecchin;La nekonato de Lirejo;;;BELETRO;eseo;;prozo originala
45 - 2014;decembro;272;283;Carlo Minnaja;Vi legos…;;;REDAKCIE;enkonduko;;anonco
45 - 2014;decembro;272;284;Marie-France Conde Rey;Frumatene;;;UVERTURO;poemo;;poezio originala
45 - 2014;decembro;272;285-286;Giorgio Silfer;Sorĉa monto svisa por desorĉi tutan Eŭropon?;;;REDAKCIE;libro;;anonco
45 - 2014;decembro;272;287;Thomas Mann;La magia monto: el ĉapitroj VI.8 kaj VII.6;Giorgio Silfer;germana;BELETRO;romano;;prozo tradukita
45 - 2014;decembro;272;288-293;Fabrizio A. Pennachietti kaj Carlo Minnaja;Littera scripta manet - Helmar Frank inter revo kaj realo;;;MEMORE PRI;eseo;;eseo originala
45 - 2014;decembro;272;294-297;Carlo Minnaja;Sesdek jarojn, Montevideo;;;NOVJARA SALUTO;dokumento;;eseo originala
45 - 2014;decembro;272;298-299;Marie-France Conde Rey;Ne tre certaj aferoj;;;KONKURSFAKO;;;eseo originala
45 - 2014;decembro;272;300-302;Fatos Kongoli;La perdinto;Tomasz Chmielik;albana;EN VITRINO;nova verko;;recenzo
45 - 2014;decembro;272;302-306;Vinko Ošlak;Ĉu ministro pri kulturo devas legi librojn?;;;KULTURPOLITIKO;eseo;;eseo originala
45 - 2014;decembro;272;307;Giorgio Silfer;Fora ŭesto en proksima oriento;;;LA SEPA ARTO;filmo;Huner Saleem (2013), My sweet pepper and / Mia dolĉa piprolando (filmo);prozo originala
45 - 2014;decembro;272;308-309;Baldur Ragnarsson;Momentoj;;;BELETRO;poezio;;poezio originala
45 - 2014;decembro;272;310-319;Francisko Degoul;Notinda esearo zamenhofologia;;;KULTURPOLITIKO;recenza eseo;"Walter Żelazny (2014), Ludoviko Lazaro Zamenhof - Lia pensaro, sekvoj kaj konsideroj, tr. Tomasz
Chmielik";recenzo
45 - 2014;decembro;272;320-323;Claudius Colas;Kristnaska epizodo de milito;;;BELETRO;epizodo;;prozo originala
45 - 2014;decembro;272;324-325;Perla Martinelli;Laŭte, sed inter la linioj;;;EN VITRINO;recenzo;Bernhard Schlink  (2013), La legisto, tr. Jean-Luc Tortel;recenzo
45 - 2014;decembro;272;326-327;Valentin Melnikov;Ne nur ŝercaj…;;;EN VITRINO;recenzo;Vladimír Váña (2002), Rakontoj ne nur ŝercaj;recenzo
45 - 2014;decembro;272;328-329;Sara Spano;Paralelaj padoj kaj perfektaj cirkloj;;;EN VITRINO;recenzo;Sten Johansson (2013), Marina;recenzo
45 - 2014;decembro;272;330-333;Anna Löwenstein;Traduka stil-libro;;;EN VITRINO;recenzo;"Arthur Conan Doyle (2013), 
La aventuroj de Ŝerloko Holmso, tr. diversaj tradukintoj";recenzo
45 - 2014;decembro;272;334;Carlo Minnaja;Rekorda partopreno;;;KONKURSFAKO;literaturo;;eseo originala
46 - 2015;februaro;273;3;Zlatoje Martinov;Ek al kuna aventuro!;;;REDAKCIE;novaĵo;;anonco
